round,event,action,alive,winprob,equip,swings
9,6,Bomb detonated,2v5,0.0/100.0,,Jame -0.20%;zweih -0.20%;Moseyuh +0.03%;Zero +0.05%;JamYoung +0.16%;Jee +0.04%;Mercury +0.11%
10,1,Round started,5v5,50.0/50.0,PARIVISION=$30.4K (FULL);TYL=$25.7K (FULL),
10,2,FL1T killed JamYoung,5v4,67.0/33.0,,FL1T +16.97%;JamYoung -16.97%
10,3,Moseyuh killed FL1T,4v4,46.9/53.1,,Moseyuh +12.31%;xiELO -6.41%;FL1T -13.73%;JamYoung +7.83%
10,4,xiELO killed Mercury,4v3,64.9/35.1,,xiELO +17.99%;Mercury -17.99%
10,5,Moseyuh killed xiELO,3v3,44.4/55.6,,Moseyuh +12.49%;xiELO -20.44%;Mercury +7.95%
10,6,Jame killed Zero,3v2,69.1/30.9,,Jame +24.72%;Zero -24.72%
10,7,Jee killed slaxejezzz,2v2,49.1/50.9,,Jee +20.04%;slaxejezzz -20.04%
10,8,Jee planted the bomb,2v2,34.7/65.3,,Jee +4.74%;slaxejezzz -4.74%;xiELO -6.36%;FL1T -3.25%;Moseyuh +5.87%;JamYoung +1.85%;Mercury +1.88%
10,9,zweih killed Moseyuh,2v1,60.3/39.7,,zweih +18.33%;xiELO +7.26%;Moseyuh -25.59%
10,10,zweih killed Jee,2v0,95.8/4.2,,zweih +35.46%;Jee -35.46%
10,11,Jame defused the bomb,2v0,100.0/0.0,,Jame +2.01%;zweih +1.46%;xiELO +0.44%;FL1T +0.30%;Moseyuh -2.10%;Jee -2.10%
11,1,Round started,5v5,50.0/50.0,PARIVISION=$30.95K (FULL);TYL=$24.9K (FULL),
11,2,xiELO killed Moseyuh,5v4,67.0/33.0,,xiELO +11.80%;zweih +2.61%;FL1T +2.56%;Moseyuh -16.97%
11,3,JamYoung killed xiELO,4v4,46.9/53.1,,JamYoung +20.14%;xiELO -20.14%
11,4,Mercury killed Jame,3v4,20.6/79.4,,Mercury +18.37%;Jame -26.25%;JamYoung +4.13%;Jee +3.76%
11,5,JamYoung killed zweih,2v4,5.0/95.0,,JamYoung +7.12%;zweih -15.63%;Mercury +8.51%
11,6,slaxejezzz killed Mercury,2v3,14.2/85.8,,slaxejezzz +4.22%;Jame +3.60%;zweih +1.19%;FL1T +0.25%;Jee -2.95%;Mercury -6.31%
11,7,FL1T killed JamYoung,2v2,39.8/60.2,,FL1T +15.52%;xiELO +10.00%;JamYoung -25.52%
11,8,Zero killed FL1T,1v2,17.2/82.8,,Zero +13.35%;FL1T -22.57%;JamYoung +9.04%;Mercury +0.18%
11,9,slaxejezzz killed Jee,1v1,50.8/49.2,,slaxejezzz +33.62%;Jee -33.62%
11,10,Zero killed slaxejezzz,0v1,0.0/100.0,,Zero +24.45%;slaxejezzz -50.81%;Jee +26.36%
12,1,Round started,5v5,50.0/50.0,PARIVISION=$25.25K (FULL);TYL=$24.6K (FULL),
12,2,zweih killed Mercury,5v4,67.0/33.0,,zweih +16.97%;Moseyuh -5.40%;Mercury -11.57%
12,3,zweih killed Moseyuh,5v3,84.4/15.6,,zweih +17.39%;Moseyuh -17.39%
12,4,Jame killed Jee,5v2,96.2/3.8,,Jame +11.83%;Jee -11.83%
